iteration,kernel_time_ms,queue_time_ms
0,0.082400,0.156320
1,0.074048,0.153312
2,0.074144,0.153312
3,0.074176,0.150816
4,0.073728,0.153216
5,0.073728,0.152768
6,0.073728,0.160480
7,0.073664,0.153152
8,0.073728,0.152672
9,0.073728,0.162496
10,0.074304,0.153504
11,0.073664,0.153376
12,0.075584,0.171968
13,0.074016,0.153344
14,0.073760,0.153664
15,0.073728,0.153280
16,0.075232,0.152864
17,0.073728,0.152736
18,0.073792,0.150912
19,0.073728,0.150144
20,0.073856,0.152512
21,0.072576,0.153216
22,0.073920,0.167712
23,0.073728,0.152992
24,0.073728,0.152512
25,0.073792,0.160608
26,0.073792,0.152960
27,0.073664,0.152544
28,0.073920,0.159968
29,0.073664,0.152544
30,0.073792,0.153376
31,0.073152,0.153312
32,0.073728,0.153216
33,0.073824,0.152736
34,0.075072,0.152512
35,0.073728,0.153120
36,0.074880,0.152704
37,0.073888,0.153344
38,0.074144,0.167712
39,0.073504,0.153216
40,0.075008,0.152736
41,0.073728,0.160416
42,0.073728,0.152736
43,0.073696,0.153408
44,0.073728,0.157984
45,0.074880,0.152736
46,0.074368,0.153472
47,0.074176,0.153408
48,0.073824,0.153248
49,0.073760,0.152864
50,0.075104,0.152480
51,0.073792,0.158144
52,0.073728,0.152832
53,0.075040,0.152608
54,0.074048,0.167776
55,0.073792,0.153248
56,0.073824,0.150784
57,0.074976,0.157440
58,0.074336,0.153408
59,0.073920,0.153408
60,0.073728,0.153120
61,0.073728,0.152704
62,0.074368,0.153344
63,0.073856,0.153472
64,0.073920,0.153440
65,0.073728,0.153088
66,0.073728,0.152672
67,0.073920,0.158144
68,0.073856,0.153056
69,0.074976,0.152640
70,0.074144,0.168096
71,0.073664,0.153280
72,0.074912,0.153152
73,0.073952,0.160640
74,0.073728,0.153152
75,0.074848,0.152640
76,0.073888,0.153376
77,0.073888,0.153536
78,0.073792,0.153344
79,0.073728,0.152928
80,0.075136,0.152512
81,0.074080,0.153248
82,0.074240,0.153280
83,0.073728,0.155424
84,0.075264,0.152544
85,0.074400,0.153280
86,0.075168,0.159776
87,0.074208,0.153312
88,0.074048,0.153312
89,0.073824,0.167424
90,0.074912,0.152576
91,0.073664,0.153344
92,0.074304,0.153344
93,0.073856,0.153216
94,0.073728,0.153152
95,0.073728,0.152768
96,0.073792,0.153344
97,0.073728,0.153120
98,0.074944,0.152640
99,0.074752,0.164896
100,0.075264,0.152512
101,0.073888,0.153504
102,0.074304,0.160672
103,0.074176,0.153280
104,0.073888,0.153312
105,0.073728,0.159136
106,0.074208,0.153408
107,0.073568,0.153376
108,0.073728,0.152928
109,0.074816,0.152544
110,0.074464,0.153280
111,0.073984,0.153344
112,0.075296,0.152480
113,0.074208,0.153280
114,0.074048,0.153344
115,0.073728,0.167488
116,0.074944,0.152864
117,0.072672,0.153440
118,0.074944,0.160192
119,0.075360,0.152672
120,0.074272,0.153312
121,0.073760,0.157696
122,0.074784,0.152768
123,0.073568,0.152448
124,0.073984,0.153568
125,0.073920,0.153248
126,0.073728,0.153056
127,0.073824,0.152608
128,0.073792,0.158144
129,0.073728,0.153280
130,0.074912,0.152864
131,0.074432,0.167840
132,0.074176,0.153344
133,0.073728,0.153376
134,0.074208,0.160608
135,0.073696,0.153344
136,0.073760,0.152960
137,0.072704,0.153536
138,0.074400,0.153376
139,0.074016,0.153344
140,0.073728,0.153152
141,0.073888,0.153280
142,0.073920,0.153280
143,0.073728,0.153280
144,0.075296,0.154976
145,0.074176,0.153280
146,0.074016,0.153312
147,0.074816,0.167456
148,0.075168,0.152544
149,0.073824,0.153280
150,0.075232,0.159968
151,0.073792,0.153344
152,0.073952,0.153312
153,0.073728,0.153248
154,0.073728,0.152736
155,0.074816,0.152544
156,0.074112,0.153408
157,0.074304,0.150944
158,0.074016,0.153280
159,0.073728,0.153088
160,0.074464,0.155744
161,0.073984,0.153536
162,0.073728,0.153408
163,0.073856,0.160640
164,0.073824,0.153376
165,0.073728,0.152992
166,0.073856,0.166720
167,0.074112,0.153440
168,0.073920,0.153280
