iteration,kernel_time_ms,queue_time_ms
0,0.068840,0.239660
1,0.067120,0.070080
2,0.066840,0.061760
3,0.067520,0.061580
4,0.050920,0.440480
5,0.051000,0.056200
6,0.047360,0.059240
7,0.063080,0.056620
8,0.065960,0.048840
9,0.065840,0.052060
10,0.065880,0.051220
11,0.050600,0.053800
12,0.051840,0.058160
13,0.051360,0.052140
14,0.046920,0.053480
15,0.050720,0.056980
16,0.051560,0.063940
17,0.051040,0.071360
18,0.052720,0.055180
19,0.050920,0.058180
20,0.051320,0.052580
21,0.050600,0.052500
22,0.046200,0.055100
23,0.051240,0.051560
24,0.051080,0.052320
25,0.050960,0.052240
26,0.050680,0.051620
27,0.051080,0.053420
28,0.051360,0.055040
29,0.050680,0.052020
30,0.050720,0.052880
31,0.051120,0.053280
32,0.051520,0.051380
33,0.050480,0.050520
34,0.047200,0.054200
35,0.050560,0.049140
36,0.051240,0.048460
37,0.050960,0.053540
38,0.051520,0.048880
39,0.051360,0.049140
40,0.051440,0.048860
41,0.051680,0.048920
42,0.050440,0.050560
43,0.050560,0.048840
44,0.051480,0.049220
45,0.050800,0.048700
46,0.050320,0.048780
47,0.051120,0.053680
48,0.050520,0.049680
49,0.051480,0.049620
50,0.051320,0.051180
51,0.050520,0.049280
52,0.051600,0.048900
53,0.051120,0.048480
54,0.050520,0.050680
55,0.051600,0.048600
56,0.047880,0.049020
57,0.051080,0.057120
58,0.051200,0.059400
59,0.051560,0.058540
60,0.051200,0.060100
61,0.051520,0.059080
62,0.046920,0.062980
63,0.051600,0.059600
64,0.051960,0.060640
65,0.051400,0.076200
66,0.051160,0.070740
67,0.051640,0.071560
68,0.051640,0.066460
69,0.051520,0.059880
70,0.047200,0.065300
71,0.051200,0.058800
72,0.051720,0.059880
73,0.051440,0.058960
74,0.047480,0.063220
75,0.051480,0.058620
76,0.051360,0.060040
77,0.051600,0.058900
78,0.051320,0.059180
79,0.051000,0.060900
80,0.052000,0.072600
81,0.051480,0.072420
82,0.047360,0.067340
83,0.051520,0.075680
84,0.051360,0.093340
85,0.051680,0.069520
86,0.051000,0.064300
87,0.051560,0.085140
88,0.051480,0.083220
89,0.051320,0.059880
90,0.051240,0.058660
91,0.051360,0.070540
92,0.051320,0.060880
93,0.051520,0.057080
94,0.050760,0.059240
95,0.051800,0.074000
96,0.051920,0.065980
97,0.051000,0.060600
98,0.047720,0.063780
99,0.051960,0.061040
100,0.051840,0.061160
101,0.051600,0.064400
102,0.051720,0.067980
103,0.051080,0.063220
104,0.051920,0.062280
105,0.051320,0.059980
106,0.050760,0.062040
107,0.050800,0.061700
108,0.051800,0.060100
109,0.051120,0.059180
110,0.052000,0.059100
111,0.051640,0.066260
112,0.052000,0.058300
113,0.051320,0.069680
114,0.051880,0.075020
115,0.051200,0.069200
116,0.052080,0.071620
117,0.051280,0.067020
118,0.051320,0.063380
119,0.051320,0.059680
120,0.051920,0.057980
121,0.051000,0.058600
122,0.047680,0.061520
123,0.051240,0.058660
124,0.051840,0.057760
125,0.051280,0.057220
126,0.051760,0.056840
127,0.051280,0.054620
128,0.052120,0.057280
129,0.051040,0.057460
130,0.047680,0.061220
131,0.051200,0.059600
132,0.051880,0.057620
133,0.052000,0.057800
134,0.050720,0.057780
135,0.051440,0.057060
136,0.051840,0.058560
137,0.051400,0.057900
138,0.047200,0.061300
139,0.051680,0.057720
140,0.051760,0.058340
141,0.051520,0.057280
142,0.050920,0.057680
143,0.051280,0.073420
144,0.051320,0.076180
145,0.051600,0.067100
146,0.047640,0.062260
147,0.051120,0.055180
148,0.051880,0.093420
149,0.051520,0.066380
150,0.051160,0.059940
151,0.051160,0.058340
152,0.051640,0.059360
153,0.051560,0.057940
154,0.047200,0.061800
155,0.051600,0.057900
156,0.051400,0.058300
157,0.051640,0.057760
158,0.050840,0.058560
159,0.051080,0.057320
160,0.051960,0.061440
161,0.051320,0.058280
162,0.050960,0.083740
163,0.051240,0.060260
164,0.051520,0.058580
165,0.051640,0.057960
166,0.047160,0.061540
167,0.051440,0.057060
168,0.052320,0.060880
169,0.051040,0.057960
170,0.051040,0.058060
171,0.051760,0.057140
172,0.051880,0.057620
173,0.051720,0.057480
174,0.050800,0.057900
