iteration,kernel_time_ms,queue_time_ms
0,0.235000,1.504771
1,0.206197,0.128504
2,0.215572,0.188977
3,0.210729,0.199780
4,0.227135,0.097200
5,0.214218,0.113121
6,0.226822,0.097975
7,0.212447,0.123696
8,0.212083,0.109375
9,0.210104,0.227719
10,0.220885,0.255842
11,0.210625,0.095948
12,0.207864,0.183673
13,0.205156,0.184431
14,0.209843,0.116327
15,0.215625,0.447048
16,0.210364,0.113896
17,0.211562,0.190873
18,0.216510,0.087513
19,0.208906,0.077464
20,0.214687,0.195029
21,0.209739,0.103106
22,0.215468,0.083421
23,0.214635,0.052120
24,0.210677,0.073852
25,0.205364,0.066291
26,0.210677,0.053947
27,0.212604,0.052016
28,0.215312,0.046022
29,0.213229,0.195598
30,0.216927,0.201905
31,0.234687,0.154519
32,0.247968,0.218168
33,0.218333,0.186817
34,0.216406,0.094429
35,0.216197,0.145858
36,0.218854,0.162090
37,0.218333,0.156940
38,0.235833,0.322021
39,0.215781,0.154300
40,0.214531,0.434096
41,0.217031,0.114275
42,0.216406,0.139632
43,0.233593,0.388675
44,0.218697,0.144613
45,0.215416,0.454317
46,0.215572,0.173271
47,0.213802,0.162333
48,0.218020,0.164677
49,0.215312,0.161500
50,0.215416,0.160675
51,0.212135,0.352533
52,0.213281,0.079296
53,0.216614,0.077669
54,0.225989,0.167279
55,0.214687,0.095069
56,0.207239,0.076177
57,0.213645,0.149323
58,0.207031,0.066427
59,0.209635,0.069613
60,0.213697,0.200250
61,0.212135,0.064244
62,0.206770,0.068527
63,0.212343,0.061079
64,0.219947,0.177673
65,0.210364,0.102025
66,0.213437,0.088440
67,0.211614,0.093810
68,0.207343,0.082304
69,0.214531,0.064034
70,0.211510,0.053633
71,0.213281,0.052152
72,0.210781,0.050108
73,0.209895,0.062048
74,0.206406,0.064337
75,0.215677,0.052855
76,0.208697,0.054313
77,0.209687,0.054092
78,0.208697,0.051643
79,0.207083,0.050398
80,0.211822,0.050619
81,0.214947,0.054196
82,0.210625,0.181150
83,0.215937,0.059381
84,0.220937,0.209975
85,0.210000,0.070186
86,0.209583,0.064591
87,0.207864,0.050915
88,0.208385,0.051155
89,0.214843,0.062585
90,0.214166,0.047321
91,0.212291,0.075967
92,0.219322,0.073250
93,0.210885,0.068635
94,0.210312,0.053978
95,0.215729,0.051002
96,0.211614,0.224240
97,0.211041,0.061577
98,0.207656,0.067969
99,0.208958,0.054981
100,0.211666,0.052533
101,0.212395,0.053115
102,0.208541,0.045767
103,0.205677,0.069673
104,0.204583,0.057282
105,0.208281,0.046244
106,0.212552,0.052108
107,0.209166,0.060667
108,0.220104,0.046816
109,0.205885,0.045566
110,0.213333,0.073116
111,0.212500,0.069683
112,0.213906,0.219084
113,0.213177,0.238123
114,0.216406,0.122290
115,0.215260,0.105788
116,0.253541,0.433298
117,0.254375,0.174987
118,0.232083,0.154070
119,0.243385,0.111140
120,0.248281,0.170868
121,0.224010,0.114182
122,0.212708,0.081579
123,0.213489,0.064448
124,0.211145,0.077275
125,0.206562,0.065846
126,0.211822,0.230915
127,0.214895,0.061011
128,0.210885,0.067333
129,0.213229,0.207911
130,0.209479,0.068223
131,0.206927,0.075975
132,0.212187,0.060410
133,0.211197,0.058896
134,0.208489,0.058328
135,0.208593,0.068071
136,0.212135,0.054052
137,0.214843,0.058744
138,0.210833,0.056023
139,0.215104,0.157433
140,0.212135,0.100094
141,0.218437,0.137539
142,0.218958,0.074535
143,0.215156,0.131446
144,0.211770,0.097873
145,0.209687,0.189356
146,0.209062,0.064205
147,0.219375,0.064837
148,0.209427,0.176156
149,0.213802,0.064004
150,0.208906,0.068744
151,0.211562,0.058992
152,0.208541,0.068692
153,0.211822,0.058010
154,0.213385,0.237850
155,0.208281,0.115581
156,0.207552,0.073194
157,0.207447,0.242745
158,0.211510,0.074813
159,0.207604,0.063527
160,0.212395,0.169885
161,0.208854,0.064521
162,0.210572,0.066236
163,0.214739,0.062850
164,0.213437,0.066932
165,0.212916,0.071688
166,0.207604,0.058066
167,0.209375,0.062182
168,0.210416,0.057437
169,0.212447,0.061192
170,0.211510,0.050610
171,0.208072,0.063114
172,0.213229,0.063688
173,0.212395,0.117529
174,0.211510,0.070711
175,0.213229,0.110598
176,0.208489,0.095658
177,0.210052,0.171031
178,0.207239,0.067798
179,0.208593,0.068310
180,0.212760,0.115871
181,0.211406,0.073435
182,0.213645,0.068223
183,0.209791,0.069781
184,0.211406,0.060046
185,0.207864,0.070485
186,0.216406,0.150515
187,0.215833,0.090004
188,0.207447,0.069094
189,0.206093,0.070806
190,0.211927,0.102208
191,0.211875,0.056554
192,0.207812,0.073134
193,0.208437,0.059825
194,0.210416,0.046860
195,0.211458,0.085209
196,0.207916,0.046083
197,0.211354,0.053519
198,0.210104,0.046084
199,0.210312,0.071171
200,0.209062,0.177333
201,0.228020,0.196279
202,0.222395,0.185375
203,0.213437,0.152804
204,0.208802,0.149196
205,0.204635,0.059648
206,0.212239,0.064271
207,0.206302,0.072387
208,0.212395,0.049752
209,0.212083,0.050181
210,0.210156,0.056600
211,0.236614,0.382204
212,0.234062,0.098229
213,0.214895,0.118779
214,0.219531,0.162235
215,0.224427,0.415490
216,0.213125,0.155919
217,0.214895,0.340381
218,0.216666,0.136290
219,0.215937,0.163714
220,0.216458,0.162281
221,0.218020,0.158379
222,0.214531,0.173908
223,0.215468,0.159881
224,0.211770,0.411206
225,0.222604,0.099225
226,0.219583,0.196717
227,0.213802,0.152290
228,0.215000,0.180561
229,0.211406,0.086483
230,0.209479,0.100112
231,0.207083,0.086050
232,0.218125,0.052940
233,0.209895,0.074408
234,0.209270,0.057673
235,0.210312,0.048892
236,0.212343,0.046704
237,0.212708,0.058270
238,0.220052,0.062104
239,0.217552,0.133604
240,0.221197,0.173577
241,0.228177,0.425508
242,0.218125,0.141702
243,0.218020,0.159661
244,0.220520,0.156571
245,0.214427,0.318944
246,0.220000,0.149810
247,0.230885,0.155798
248,0.232239,0.088936
249,0.234947,0.123889
250,0.252083,0.228440
251,0.209791,0.137642
252,0.215208,0.083623
253,0.211354,0.105827
254,0.213333,0.084382
255,0.216197,0.131220
256,0.212552,0.089959
257,0.214322,0.082346
258,0.217708,0.163515
259,0.213020,0.134115
260,0.210937,0.198125
261,0.233125,0.086583
262,0.231718,0.105534
263,0.218437,0.272421
264,0.214531,0.150714
265,0.216041,0.210819
266,0.217187,0.206969
267,0.229843,0.158207
268,0.230833,0.144730
269,0.213489,0.139369
270,0.215000,0.251187
271,0.214427,0.109087
272,0.214531,0.143058
273,0.226875,0.141479
274,0.221510,0.108654
275,0.212447,0.220558
276,0.216145,0.197573
277,0.214062,0.141913
278,0.215833,0.150410
279,0.217604,0.157338
280,0.228177,0.161040
281,0.213125,0.165229
282,0.211302,0.084577
283,0.220625,0.295198
284,0.210364,0.149825
285,0.211614,0.091379
286,0.218385,0.188280
287,0.209375,0.067300
288,0.211145,0.066696
289,0.211718,0.089684
290,0.210000,0.064379
291,0.215312,0.084854
292,0.206979,0.109240
293,0.215312,0.132658
294,0.209739,0.064934
295,0.208645,0.059639
296,0.219270,0.054458
297,0.213020,0.051960
298,0.214947,0.194402
299,0.221354,0.091464
300,0.220677,0.179171
301,0.205937,0.080156
302,0.209114,0.059464
303,0.210052,0.047477
304,0.207135,0.048844
305,0.210052,0.054773
306,0.212343,0.044417
307,0.207447,0.084986
308,0.212656,0.054877
309,0.211197,0.047169
310,0.208437,0.054000
311,0.208333,0.066027
312,0.217031,0.204231
313,0.211145,0.059475
314,0.206041,0.063158
315,0.209166,0.050341
316,0.210052,0.051111
317,0.206718,0.054964
318,0.214895,0.403769
319,0.203593,0.095023
320,0.207083,0.068154
321,0.206770,0.085198
322,0.225312,0.056670
323,0.208750,0.054348
324,0.215312,0.071646
325,0.210520,0.074131
326,0.213958,0.215034
327,0.228489,0.217385
328,0.215781,0.100602
329,0.211614,0.136750
330,0.206041,0.102504
331,0.213645,0.046331
332,0.208750,0.048783
333,0.204166,0.060652
334,0.208906,0.045041
335,0.215781,0.050038
336,0.211093,0.063996
337,0.212291,0.050133
338,0.206614,0.053271
339,0.214218,0.046916
340,0.211770,0.243631
341,0.208333,0.058316
342,0.215156,0.063146
343,0.205104,0.077898
344,0.208437,0.050658
345,0.213854,0.053940
346,0.205729,0.044989
347,0.212239,0.076150
348,0.207916,0.058006
349,0.210520,0.046808
350,0.209947,0.088404
351,0.215208,0.071617
352,0.218020,0.102904
353,0.213802,0.095146
354,0.207864,0.059841
355,0.212187,0.092127
356,0.219739,0.113290
357,0.216145,0.236223
358,0.213177,0.103345
359,0.207968,0.065595
360,0.207500,0.155436
361,0.214635,0.061136
362,0.208385,0.060941
363,0.206302,0.068142
364,0.212656,0.205602
365,0.207135,0.065950
366,0.207031,0.068431
367,0.208697,0.062092
368,0.210520,0.059990
369,0.212239,0.294361
370,0.207083,0.165879
371,0.205937,0.065609
372,0.210052,0.254027
373,0.206354,0.067712
374,0.207916,0.068111
375,0.210833,0.059300
376,0.210572,0.058750
377,0.205781,0.062790
378,0.209687,0.060303
379,0.208385,0.058735
380,0.211250,0.063479
381,0.212812,0.058531
382,0.206770,0.055715
383,0.208125,0.061700
384,0.206875,0.061340
385,0.209739,0.083327
386,0.226406,0.110600
387,0.220885,0.233631
388,0.212656,0.139719
389,0.213437,0.135232
390,0.210625,0.075950
391,0.207968,0.059804
392,0.204166,0.058946
393,0.210781,0.046011
394,0.212343,0.057998
395,0.209635,0.067473
396,0.214218,0.073694
397,0.210312,0.060696
398,0.207968,0.071361
399,0.219114,0.221733
400,0.212239,0.127938
401,0.208645,0.075587
402,0.210885,0.060940
403,0.208385,0.060364
404,0.210833,0.059725
405,0.217760,0.064623
406,0.218229,0.097100
407,0.218020,0.169800
408,0.219739,0.117571
409,0.220208,0.098590
410,0.220833,0.125346
411,0.216302,0.102225
412,0.225520,0.082491
413,0.216354,0.128017
414,0.221614,0.145948
415,0.217760,0.087733
416,0.211145,0.070333
417,0.213750,0.066598
418,0.209791,0.074083
419,0.213802,0.251019
420,0.210572,0.061366
421,0.206718,0.069000
422,0.217552,0.218267
423,0.204322,0.065998
424,0.207604,0.074044
425,0.206041,0.063110
426,0.215208,0.209000
427,0.221510,0.326244
428,0.211406,0.122479
429,0.211927,0.130196
430,0.210781,0.068166
431,0.207812,0.065787
432,0.207395,0.066096
433,0.215416,0.050252
434,0.212135,0.052000
435,0.209843,0.050703
436,0.215000,0.045794
437,0.209375,0.054669
438,0.206406,0.049413
439,0.217656,0.046748
440,0.211614,0.054725
441,0.211093,0.076220
442,0.212864,0.213527
443,0.219531,0.243246
444,0.215833,0.241242
445,0.215781,0.115904
446,0.209166,0.097550
447,0.207812,0.083063
448,0.207083,0.065325
449,0.210364,0.061987
450,0.209062,0.052733
451,0.210364,0.049921
452,0.209062,0.055927
453,0.207083,0.045554
454,0.205781,0.057321
455,0.208333,0.054527
456,0.209218,0.202921
457,0.208072,0.071396
458,0.213489,0.058771
459,0.208645,0.054248
460,0.205052,0.048666
461,0.211614,0.061183
462,0.216510,0.060033
463,0.208906,0.060075
