version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms 
opencl_V2,float,2048,1000,4,64,1587.000
opencl_V3,float,2048,1000,4,64,1570.000
opencl_V2,float,2048,1000,2,128,1402.000
opencl_V3,float,2048,1000,2,128,1239.000
opencl_V2,float,2048,1000,1,256,1146.000
opencl_V3,float,2048,1000,1,256,1121.000
opencl_V2,float,2048,1000,2,256,1206.000
opencl_V3,float,2048,1000,2,256,1089.000
opencl_V2,float,2048,1000,8,32,2893.000
opencl_V3,float,2048,1000,8,32,2334.000
opencl_V2,float,2048,1000,4,64,1916.000
opencl_V3,float,2048,1000,4,64,1760.000
opencl_V2,float,2048,1000,2,128,1237.000
opencl_V3,float,2048,1000,2,128,1132.000
opencl_V2,float,2048,1000,1,256,965.000
opencl_V3,float,2048,1000,1,256,1132.000
opencl_V2,float,2048,1000,2,256,1158.000
opencl_V3,float,2048,1000,2,256,1108.000
opencl_V2,float,2048,1000,8,32,2816.000
opencl_V3,float,2048,1000,8,32,1990.000
opencl_V2,float,2048,1000,4,64,1644.000
opencl_V3,float,2048,1000,4,64,1447.000
opencl_V2,float,2048,1000,2,128,976.000
opencl_V3,float,2048,1000,2,128,866.000
opencl_V2,float,2048,1000,1,256,767.000
opencl_V3,float,2048,1000,1,256,755.000
opencl_V2,float,2048,1000,2,256,917.000
opencl_V3,float,2048,1000,2,256,914.000
opencl_V2,float,4096,10,8,32,466.000
opencl_V3,float,4096,10,8,32,350.000
opencl_V2,float,4096,10,4,64,198.000
opencl_V3,float,4096,10,4,64,210.000
opencl_V2,float,4096,10,2,128,150.000
opencl_V3,float,4096,10,2,128,152.000
opencl_V2,float,4096,10,1,256,104.000
opencl_V3,float,4096,10,1,256,99.000
opencl_V2,float,4096,10,2,256,104.000
opencl_V3,float,4096,10,2,256,123.000
opencl_V2,float,4096,10,8,32,481.000
opencl_V3,float,4096,10,8,32,362.000
opencl_V2,float,4096,10,4,64,209.000
opencl_V3,float,4096,10,4,64,216.000
opencl_V2,float,4096,10,2,128,132.000
opencl_V3,float,4096,10,2,128,141.000
opencl_V2,float,4096,10,1,256,107.000
opencl_V3,float,4096,10,1,256,102.000
opencl_V2,float,4096,10,2,256,105.000
opencl_V3,float,4096,10,2,256,111.000
opencl_V2,float,4096,10,8,32,478.000
opencl_V3,float,4096,10,8,32,353.000
opencl_V2,float,4096,10,4,64,197.000
opencl_V3,float,4096,10,4,64,206.000
opencl_V2,float,4096,10,2,128,127.000
opencl_V3,float,4096,10,2,128,143.000
opencl_V2,float,4096,10,1,256,93.000
opencl_V3,float,4096,10,1,256,97.000
opencl_V2,float,4096,10,2,256,115.000
opencl_V2,float,4096,10,8,32,504.000
opencl_V3,float,4096,10,8,32,349.000
opencl_V2,float,4096,10,4,64,205.000
opencl_V3,float,4096,10,4,64,206.000
opencl_V2,float,4096,10,2,128,136.000
opencl_V3,float,4096,10,2,128,143.000
opencl_V2,float,4096,10,1,256,94.000
opencl_V3,float,4096,10,1,256,100.000
opencl_V2,float,4096,10,2,256,104.000
opencl_V3,float,4096,10,2,256,111.000
opencl_V2,float,4096,10,8,32,452.000
opencl_V3,float,4096,10,8,32,352.000
opencl_V2,float,4096,10,4,64,199.000
opencl_V3,float,4096,10,4,64,209.000
opencl_V2,float,4096,10,2,128,143.000
opencl_V3,float,4096,10,2,128,152.000
opencl_V2,float,4096,10,1,256,108.000
opencl_V3,float,4096,10,1,256,102.000
opencl_V2,float,4096,10,2,256,105.000
opencl_V3,float,4096,10,2,256,113.000
opencl_V2,float,4096,100,8,32,4258.000
opencl_V3,float,4096,100,8,32,3066.000
opencl_V2,float,4096,100,4,64,1556.000
opencl_V3,float,4096,100,4,64,1627.000
opencl_V2,float,4096,100,2,128,898.000
opencl_V3,float,4096,100,2,128,976.000
opencl_V2,float,4096,100,1,256,520.000
opencl_V3,float,4096,100,1,256,559.000
opencl_V2,float,4096,100,2,256,612.000
opencl_V3,float,4096,100,2,256,685.000
opencl_V2,float,4096,100,8,32,4319.000
opencl_V3,float,4096,100,8,32,3224.000
opencl_V2,float,4096,100,4,64,1643.000
opencl_V3,float,4096,100,4,64,1674.000
opencl_V2,float,4096,100,2,128,888.000
opencl_V3,float,4096,100,2,128,989.000
opencl_V2,float,4096,100,1,256,521.000
opencl_V3,float,4096,100,1,256,549.000
opencl_V2,float,4096,100,2,256,599.000
opencl_V3,float,4096,100,2,256,677.000
opencl_V2,float,4096,100,8,32,4211.000
opencl_V3,float,4096,100,8,32,3174.000
opencl_V2,float,4096,100,4,64,1703.000
opencl_V3,float,4096,100,4,64,1579.000
opencl_V2,float,4096,100,2,128,959.000
opencl_V3,float,4096,100,2,128,1041.000
opencl_V2,float,4096,100,1,256,651.000
opencl_V3,float,4096,100,1,256,633.000
opencl_V2,float,4096,100,2,256,639.000
opencl_V3,float,4096,100,2,256,722.000
opencl_V2,float,4096,100,8,32,4246.000
opencl_V3,float,4096,100,8,32,3116.000
opencl_V2,float,4096,100,4,64,1605.000
opencl_V3,float,4096,100,4,64,1650.000
opencl_V2,float,4096,100,2,128,925.000
opencl_V3,float,4096,100,2,128,1010.000
opencl_V2,float,4096,100,1,256,539.000
opencl_V3,float,4096,100,1,256,572.000
opencl_V2,float,4096,100,2,256,651.000
opencl_V3,float,4096,100,2,256,650.000
opencl_V2,float,4096,100,8,32,4201.000
opencl_V3,float,4096,100,8,32,3151.000
opencl_V2,float,4096,100,4,64,1597.000
opencl_V3,float,4096,100,4,64,1673.000
opencl_V2,float,4096,100,2,128,928.000
opencl_V3,float,4096,100,2,128,1003.000
opencl_V2,float,4096,100,1,256,541.000
opencl_V3,float,4096,100,1,256,595.000
opencl_V2,float,4096,100,2,256,625.000
opencl_V3,float,4096,100,2,256,708.000
opencl_V2,float,4096,1000,8,32,42775.000
opencl_V3,float,4096,1000,8,32,30253.000
opencl_V2,float,4096,1000,4,64,15667.000
opencl_V3,float,4096,1000,4,64,15658.000
