impl,elapsed_ms,time_ia,time_ib
serial,424.955194
opencl,25.255632,15.897100,14.607954
serial,475.438659
opencl,22.896507,15.821904,14.479581
serial,475.499416
opencl,23.052771,15.488078,14.165333
serial,474.047507
opencl,22.768082,15.321012,14.003077
serial,468.540654
opencl,23.353240,15.692866,14.177329
serial,475.237732
opencl,22.485131,14.740576,13.423381
serial,454.978070
opencl,21.428889,14.368898,13.345025
serial,463.993525
opencl,21.375681,14.278805,13.232583
serial,416.498192
opencl,22.736062,14.716662,13.012603
serial,481.260472
opencl,22.446633,14.886347,13.540565
