impl,elapsed_ms,time_ia,time_ib
serial,4497.843313
opencl,250.409257,58.171744,43.468288
serial,4931.458774
opencl,251.749369,56.440992,42.139616
serial,4779.312676
opencl,254.915839,58.317888,41.895456
serial,4740.412112
opencl,243.075512,56.514688,42.197472
serial,4855.205279
opencl,258.464183,57.766720,43.015488
serial,4455.175876
opencl,253.681718,56.066304,41.900992
serial,4754.725888
opencl,237.314150,58.523104,42.400480
serial,4502.498593
opencl,251.394837,56.885088,42.555392
serial,4722.252781
opencl,236.622370,55.022752,41.411744
serial,4598.329574
opencl,249.811177,56.675424,42.045600
