precision,N,time_ms
float,512,1.935
float,512,1.862
float,512,1.786
double,512,6.802
double,512,6.889
double,512,7.209
float,1024,78.422
float,1024,75.922
float,1024,71.341
double,1024,113.483
double,1024,76.049
double,1024,115.356
float,2000,505.991
float,2000,538.287
float,2000,379.884
double,2000,758.801
double,2000,874.875
double,2000,643.548
float,2048,662.640
float,2048,693.383
float,2048,716.173
double,2048,829.919
double,2048,880.090
double,2048,804.826
